Year,GEO,Gender (3a),Economic family characteristics of persons (13),Age (8),Individual MBM poverty status (7),Value
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,6 to 17 years,In poverty,35.0
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),13.2
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,18 to 24 years,In poverty,20.0
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),22.2
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,25 to 54 years,In poverty,75.0
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),12.9
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,55 to 64 years,In poverty,85.0
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),23.0
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,65 years and over,In poverty,20.0
2015,Havelock-Belmont-Methuen,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),3.8
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,70.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),17.3
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,25.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),25.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,30.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),30.0
2020,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,100.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),27.4
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,50.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),43.5
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,35.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),35.0
2015,Havelock-Belmont-Methuen,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,160.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),6.4
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,35.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),4.7
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,85.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),17.3
2020,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,370.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),16.5
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,60.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),17.9
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,50.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),20.8
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,25.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),20.8
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,125.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),18.5
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,115.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),24.2
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,45.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),7.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,Total - Age,In poverty,100.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),4.7
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,25 to 54 years,In poverty,20.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),3.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,55 to 64 years,In poverty,45.0
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),11.1
2020,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,Total - Age,In poverty,255.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),13.1
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,0 to 17 years,In poverty,55.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),16.7
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,6 to 17 years,In poverty,40.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),17.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,18 to 24 years,In poverty,15.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),14.3
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,25 to 54 years,In poverty,100.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),16.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,55 to 64 years,In poverty,75.0
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),18.8
2015,Havelock-Belmont-Methuen,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,65.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),17.1
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,40.0
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),47.1
2020,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,115.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),37.7
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,25.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),50.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,35.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),46.7
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,35.0
2015,Havelock-Belmont-Methuen,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),21.9
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,105.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),7.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,30.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),8.5
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,55.0
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),14.5
2020,North Kawartha,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,140.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),11.1
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,25.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),13.2
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,40.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),12.7
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,30.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),10.7
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,30.0
2015,North Kawartha,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),7.5
2020,North Kawartha,Men+,Total - Persons in economic families,Total - Age,In poverty,30.0
2020,North Kawartha,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),2.5
2020,North Kawartha,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons in economic families,Total - Age,In poverty,80.0
2015,North Kawartha,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),7.7
2015,North Kawartha,Men+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons in economic families,25 to 54 years,In poverty,25.0
2015,North Kawartha,Men+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),9.8
2015,North Kawartha,Men+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,75.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),25.9
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,45.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),45.0
2020,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,60.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),27.9
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,In poverty,15.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),25.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,In poverty,20.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),28.6
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,20.0
2015,North Kawartha,Men+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),25.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,65.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),4.8
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,20.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),5.6
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,20.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),6.0
2020,North Kawartha,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,170.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),14.2
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,35.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),18.9
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,30.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),30.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,45.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),15.3
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,15.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),5.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,40.0
2015,North Kawartha,Women+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),12.5
2020,North Kawartha,Women+,Total - Persons in economic families,Total - Age,In poverty,30.0
2020,North Kawartha,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),2.6
2020,North Kawartha,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons in economic families,Total - Age,In poverty,110.0
2015,North Kawartha,Women+,Total - Persons in economic families,Total - Age,Poverty rate (%),10.6
2015,North Kawartha,Women+,Total - Persons in economic families,0 to 17 years,In poverty,35.0
2015,North Kawartha,Women+,Total - Persons in economic families,0 to 17 years,Poverty rate (%),19.4
2015,North Kawartha,Women+,Total - Persons in economic families,0 to 5 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons in economic families,6 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons in economic families,18 to 24 years,In poverty,25.0
2015,North Kawartha,Women+,Total - Persons in economic families,18 to 24 years,Poverty rate (%),27.8
2015,North Kawartha,Women+,Total - Persons in economic families,25 to 54 years,In poverty,30.0
2015,North Kawartha,Women+,Total - Persons in economic families,25 to 54 years,Poverty rate (%),10.9
2015,North Kawartha,Women+,Total - Persons in economic families,55 to 64 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Persons in economic families,65 years and over,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,35.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),16.3
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2020,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,In poverty,60.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,Total - Age,Poverty rate (%),36.4
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,0 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,0 to 5 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,6 to 17 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,18 to 24 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,25 to 54 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,55 to 64 years,Poverty rate (%),0.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,In poverty,30.0
2015,North Kawartha,Women+,Total - Household living arrangements for persons not in economic families,65 years and over,Poverty rate (%),31.6
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,185.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),5.7
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,35.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),9.2
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),0.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,30.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),12.2
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),0.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,45.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),5.5
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,90.0
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),11.3
2020,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),0.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,Total - Age,In poverty,275.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,Total - Age,Poverty rate (%),10.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,In poverty,45.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 17 years,Poverty rate (%),13.8
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,In poverty,20.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,0 to 5 years,Poverty rate (%),26.7
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,In poverty,20.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,6 to 17 years,Poverty rate (%),8.2
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,In poverty,25.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,18 to 24 years,Poverty rate (%),15.6
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,In poverty,110.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,25 to 54 years,Poverty rate (%),14.2
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,In poverty,70.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,55 to 64 years,Poverty rate (%),11.5
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,65 years and over,In poverty,30.0
2015,Trent Lakes,Men+,Total - Persons by selected economic family characteristics,65 years and over,Poverty rate (%),3.4
2020,Trent Lakes,Men+,Total - Persons in economic families,Total - Age,In poverty,105.0
2020,Trent Lakes,Men+,Total - Persons in economic families,Total - Age,Poverty rate (%),3.8
